timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577937033791,316,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-20,text,true,,813,1,1,http://152.136.173.30:8080/customer/login,,316,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,187
1577937033791,316,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-20,,true,,813,1,1,null,,316,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,187
1577937034110,230,Modify Password,200,,User Infomation Manage Thread Group(个人信息管理) 1-20,text,true,,544,2,2,http://152.136.173.30:8080/customer/change-password,,229,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034110,230,Modify Password,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-20,,true,,544,2,2,null,,229,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034340,70,Modify User Info,200,,User Infomation Manage Thread Group(个人信息管理) 1-20,text,true,,544,2,2,http://152.136.173.30:8080/customer/save-user-info,,70,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034340,70,Modify User Infomation,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-20,,true,,544,2,2,null,,70,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,0
1577937034293,178,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-19,text,true,,815,2,2,http://152.136.173.30:8080/customer/login,,178,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,45
1577937034293,178,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-19,,true,,815,2,2,null,,178,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,45
1577937034411,250,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-20,text,true,,798,2,2,http://152.136.173.30:8080/customer/login,,248,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577937034411,250,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-20,,true,,798,2,2,null,,248,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,37
1577937034473,491,Modify Password,200,,User Infomation Manage Thread Group(个人信息管理) 1-19,text,true,,544,3,3,http://152.136.173.30:8080/customer/change-password,,491,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034473,491,Modify Password,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-19,,true,,544,3,3,null,,491,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034664,324,Modify Password,200,,User Infomation Manage Thread Group(个人信息管理) 1-20,text,true,,544,3,3,http://152.136.173.30:8080/customer/change-password,,324,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034664,324,Modify Password,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-20,,true,,544,3,3,null,,324,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034965,41,Modify User Info,200,,User Infomation Manage Thread Group(个人信息管理) 1-19,text,true,,544,3,3,http://152.136.173.30:8080/customer/save-user-info,,41,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937034965,41,Modify User Infomation,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-19,,true,,544,3,3,null,,41,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,0
1577937034989,48,Modify User Info,200,,User Infomation Manage Thread Group(个人信息管理) 1-20,text,true,,544,3,3,http://152.136.173.30:8080/customer/save-user-info,,48,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
