timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577935033976,456,Login,200,,Login Thread Group(登录) 1-50,text,true,,815,3,3,http://152.136.173.30:8080/customer/login,,456,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,263
1577935033976,456,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group(登录) 1-50,,true,,815,3,3,null,,456,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,263
1577935034179,308,Login,200,,Login Thread Group(登录) 1-49,text,true,,817,3,3,http://152.136.173.30:8080/customer/login,,308,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,96
1577935034179,308,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group(登录) 1-49,,true,,817,3,3,null,,308,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,96
1577935034375,298,Login,200,,Login Thread Group(登录) 1-48,text,true,,800,4,4,http://152.136.173.30:8080/customer/login,,297,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,40
1577935034374,298,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group(登录) 1-48,,true,,800,4,4,null,,297,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,40
1577935034434,350,Login,200,,Login Thread Group(登录) 1-50,text,true,,816,5,5,http://152.136.173.30:8080/customer/login,,350,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,35
1577935034434,350,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group(登录) 1-50,,true,,816,5,5,null,,350,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,35
1577935034490,300,Login,200,,Login Thread Group(登录) 1-49,text,true,,806,5,5,http://152.136.173.30:8080/customer/login,,299,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577935034490,300,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group(登录) 1-49,,true,,806,5,5,null,,299,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577935034578,712,Login,200,,Login Thread Group(登录) 1-47,text,true,,809,7,7,http://152.136.173.30:8080/customer/login,,708,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,92
1577935034577,712,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group(登录) 1-47,,true,,809,7,7,null,,708,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,92
1577935034675,618,Login,200,,Login Thread Group(登录) 1-48,text,true,,801,7,7,http://152.136.173.30:8080/customer/login,,617,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,36
