timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577937225262,550,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-98,text,true,,813,8,8,http://152.136.173.30:8080/customer/login,,548,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577937225262,550,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-98,,true,,813,8,8,null,,548,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,32
1577937225270,556,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-100,text,true,,798,8,8,http://152.136.173.30:8080/customer/login,,556,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577937225270,556,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-100,,true,,798,8,8,null,,556,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,8,32
1577937225364,462,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-97,text,true,,814,8,8,http://152.136.173.30:8080/customer/login,,462,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577937225464,363,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-96,text,true,,804,8,8,http://152.136.173.30:8080/customer/login,,363,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577937225364,462,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-97,,true,,814,8,8,null,,462,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,8,33
1577937225265,561,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-99,text,true,,815,8,8,http://152.136.173.30:8080/customer/login,,561,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577937225463,363,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-96,,true,,804,8,8,null,,363,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,8,37
1577937225265,561,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-99,,true,,815,8,8,null,,561,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,8,33
1577937225564,1487,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-95,text,true,,807,20,20,http://152.136.173.30:8080/customer/login,,1487,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,243
1577937225564,1487,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-95,,true,,807,20,20,null,,1487,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,243
1577937225664,1585,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-94,text,true,,799,22,22,http://152.136.173.30:8080/customer/login,,1585,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,180
1577937225764,1485,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-93,text,true,,798,22,22,http://152.136.173.30:8080/customer/login,,1485,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,75
1577937225663,1585,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-94,,true,,799,22,22,null,,1585,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,180
1577937225764,1485,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-93,,true,,798,22,22,null,,1485,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,75
1577937225863,1386,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-92,text,true,,810,22,22,http://152.136.173.30:8080/customer/login,,1386,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577937225863,1386,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-92,,true,,810,22,22,null,,1386,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,32
1577937225960,1517,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-91,text,true,,807,25,25,http://152.136.173.30:8080/customer/login,,1517,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,34
1577937225960,1517,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-91,,true,,807,25,25,null,,1517,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,34
1577937226061,1850,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-90,text,true,,809,29,29,http://152.136.173.30:8080/customer/login,,1849,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577937226060,1850,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-90,,true,,809,29,29,null,,1849,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,33
1577937226166,1915,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-89,text,true,,813,31,31,http://152.136.173.30:8080/customer/login,,1915,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,74
1577937226166,1915,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-89,,true,,813,31,31,null,,1915,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,74
1577937226262,2037,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-88,text,true,,799,33,33,http://152.136.173.30:8080/customer/login,,2037,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,40
1577937226261,2037,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-88,,true,,799,33,33,null,,2037,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,40
1577937226363,2091,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-87,text,true,,807,34,34,http://152.136.173.30:8080/customer/login,,2091,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577937226363,2091,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-87,,true,,807,34,34,null,,2091,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,37
