timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577936394488,1437,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-188,text,true,,815,42,42,http://152.136.173.30:8080/customer/login,,1437,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,31
1577936394487,1437,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-188,,true,,815,42,42,null,,1437,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,5,31
1577936395929,444,Read Stadium Message,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-188,text,true,,795,51,51,http://152.136.173.30:8080/stadium/message?id=6&customerId=537,,444,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936396374,61,Get Stadium Idle Time,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-188,text,true,,563,52,52,http://152.136.173.30:8080/booking/get-empty-time?stadiumId=6&daysAfterToday=0&customerId=537,,61,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936396436,92,Get Stadium Items,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-188,text,true,,2384,54,54,http://152.136.173.30:8080/stadium/items?customerId=537,,92,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936395929,597,Stadium Booking,200,"Number of samples in transaction : 3, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-188,,true,,3742,54,54,null,,597,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,0
1577936394494,2951,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-187,text,true,,800,72,72,http://152.136.173.30:8080/customer/login,,2951,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577936394492,2951,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-189,text,true,,817,72,72,http://152.136.173.30:8080/customer/login,,2951,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577936394492,2951,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-189,,true,,817,72,72,null,,2951,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,12,33
1577936394494,2951,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-187,,true,,800,72,72,null,,2951,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,11,32
1577936397456,106,Read Stadium Message,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-189,text,true,,752,75,75,http://152.136.173.30:8080/stadium/message?id=2&customerId=538,,106,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,40
1577936397456,140,Read Stadium Message,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-187,text,true,,795,76,76,http://152.136.173.30:8080/stadium/message?id=6&customerId=539,,140,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,38
1577936397563,95,Get Stadium Idle Time,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-189,text,true,,562,77,77,http://152.136.173.30:8080/booking/get-empty-time?stadiumId=2&daysAfterToday=1&customerId=538,,95,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
