timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577936857906,238,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-10,text,true,,813,1,1,http://152.136.173.30:8080/customer/login,,238,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577936857905,238,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-10,,true,,813,1,1,null,,238,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,4,37
1577936858147,253,Modify Password,200,,User Infomation Manage Thread Group(个人信息管理) 1-10,text,true,,544,1,1,http://152.136.173.30:8080/customer/change-password,,253,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936858147,253,Modify Password,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-10,,true,,544,1,1,null,,253,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,0
1577936858401,45,Modify User Info,200,,User Infomation Manage Thread Group(个人信息管理) 1-10,text,true,,544,1,1,http://152.136.173.30:8080/customer/save-user-info,,45,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936858401,45,Modify User Infomation,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-10,,true,,544,1,1,null,,45,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936858446,354,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-10,text,true,,815,1,1,http://152.136.173.30:8080/customer/login,,354,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577936858446,354,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-10,,true,,815,1,1,null,,354,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,33
1577936858802,390,Modify Password,200,,User Infomation Manage Thread Group(个人信息管理) 1-10,text,true,,544,2,2,http://152.136.173.30:8080/customer/change-password,,390,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936858802,390,Modify Password,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-10,,true,,544,2,2,null,,390,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,0
